RENDSZAM	ERKEZES					TAVOZAS
=======================================================
ABC-123		2026-03-30 07:45:12		2026-03-30 09:10:33
KFT-582		2026-03-30 08:12:47		2026-03-30 11:05:19
JRM-441		2026-03-30 09:03:28		2026-03-30 09:29:55
PTX-907		2026-03-30 10:17:06		2026-03-30 14:48:40
LND-264		2026-03-30 11:26:31		2026-03-31 08:14:02
MVB-715		2026-03-30 12:40:09		2026-03-30 13:05:44
HSZ-388		2026-03-30 13:55:50		2026-03-30 18:22:11
QWE-129		2026-03-30 15:08:14		2026-03-31 15:08:14
RTY-663		2026-03-30 16:44:39		2026-03-31 22:51:07
ZPL-504		2026-03-30 18:19:22		2026-03-30 20:47:58
